着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,後3F,コーナー通過順,厩舎,馬体重(増減),date,race_type,course_ren,weather,ground_state,horse_id,jockey_id
202101010106,9,4,5,デルマバサラ,牡3,56.0,荻野琢,1:50.6,6,12.0,161.9,39.2,11-13-13-11,栗東牧田,478(0),2021年6月12日,ダ,1700,曇,良,2018104274,01112
202101010106,10,6,10,マーブルウェイ,牡3,53.0,▲小沢,1:50.6,ハナ,7.0,17.2,40.1,3-3-8-10,栗東西園,462(0),2021年6月12日,ダ,1700,曇,良,2018101449,01185
202101010106,11,7,11,ビクトリージャック,牡3,56.0,鮫島駿,1:51.5,5,10.0,73.6,41.2,4-3-7-7,栗東高橋忠,502(-4),2021年6月12日,ダ,1700,曇,良,2018105591,01157
202101010106,12,1,1,ホウオウダンサー,牡3,54.0,△秋山稔,1:51.6,1,13.0,227.8,40.1,13-14-14-13,美浦栗田,526(-4),2021年6月12日,ダ,1700,曇,良,2018103492,01181
202101010106,13,3,3,ノブシ,牡3,56.0,藤岡佑,1:52.4,5,9.0,21.2,41.2,6-7-12-13,栗東藤岡,482(-4),2021年6月12日,ダ,1700,曇,良,2018101101,01093
202101010106,14,5,8,ボルゲリ,牡3,56.0,古川吉,1:52.9,3,6.0,16.9,42.2,9-8-9-11,美浦大江原,498(+2),2021年6月12日,ダ,1700,曇,良,2018100955,01015
202101010107,1,8,11,アルナージ,牝3,52.0,横山和,0:59.4,,1.0,3.1,36.0,1-1,栗東昆,470(+12),2021年6月12日,ダ,1000,曇,良,2018106580,01140
202101010107,2,6,8,サツキマス,牝4,55.0,菱田,0:59.6,1,8.0,18.4,35.7,5-4,美浦田島,438(-8),2021年6月12日,ダ,1000,曇,良,2017101162,01144
202101010107,3,7,9,イマジンヨウコ,牝3,50.0,△泉谷,0:59.6,ハナ,2.0,4.5,35.3,9-8,栗東武英,456(0),2021年6月12日,ダ,1000,曇,良,2018102229,01182
202101010107,4,8,12,パロットビーク,牝3,52.0,川又,0:59.7,1/2,4.0,9.3,35.6,7-7,栗東松永幹,466(+4),2021年6月12日,ダ,1000,曇,良,2018105495,01166
202101010107,5,4,4,ステラータ,牝4,55.0,武豊,0:59.7,クビ,3.0,5.5,35.1,12-11,栗東森,474(+8),2021年6月12日,ダ,1000,曇,良,2017105400,00666
202101010107,6,7,10,ヒートライトニング,牝4,52.0,▲横山琉,0:59.7,アタマ,6.0,12.2,36.2,2-2,美浦堀井,456(0),2021年6月12日,ダ,1000,曇,良,2017100050,01192
202101010107,7,1,1,ハイレリーフ,牝3,52.0,丹内,1:00.1,2,7.0,15.1,36.3,5-4,美浦菊川,430(-10),2021年6月12日,ダ,1000,曇,良,2018103529,01091
202101010107,8,6,7,サノカポ,牝3,50.0,△秋山稔,1:00.5,2.1/2,10.0,27.2,37.0,2-3,美浦中野,444(+18),2021年6月12日,ダ,1000,曇,良,2018101608,01181
202101010107,9,3,3,コールザチューン,牝5,54.0,☆亀田,1:00.6,1/2,11.0,31.4,36.4,9-10,美浦上原,480(-10),2021年6月12日,ダ,1000,曇,良,2016105005,01176
202101010107,10,2,2,クリオズナ,牝3,49.0,▲小沢,1:00.7,クビ,5.0,10.7,36.6,7-8,栗東浜田,426(-4),2021年6月12日,ダ,1000,曇,良,2018105247,01185
202101010107,11,5,6,サンジョアン,牝4,52.0,▲小林凌,1:01.4,4,12.0,145.8,37.0,11-12,美浦伊藤圭,456(+2),2021年6月12日,ダ,1000,曇,良,2017103469,01177
202101010107,12,5,5,ブレイヴガール,牝4,55.0,吉田隼,1:01.6,1,9.0,19.2,38.0,4-6,栗東吉田,458(+20),2021年6月12日,ダ,1000,曇,良,2017101561,01095
202101010108,1,8,10,ヒューマンコメディ,牝4,55.0,横山和,1:59.5,,4.0,6.4,35.4,5-2-2-2,美浦水野,486(+10),2021年6月12日,芝,2000,曇,良,2017104478,01140
202101010108,2,3,3,アキノコマチ,牝5,55.0,鮫島駿,1:59.5,アタマ,3.0,4.8,35.0,6-6-4-3,美浦田中剛,430(0),2021年6月12日,芝,2000,曇,良,2016101241,01157
202101010108,3,4,4,パイネ,牝4,55.0,団野,1:59.8,1.3/4,1.0,4.0,34.9,9-9-9-8,美浦国枝,446(+8),2021年6月12日,芝,2000,曇,良,2017105571,01180
202101010108,4,8,9,クロスザルビコン,牡4,57.0,大野,1:59.8,ハナ,5.0,8.5,35.1,6-6-7-5,美浦大和田,446(+8),2021年6月12日,芝,2000,曇,良,2017105117,01096
202101010108,5,5,5,ヤップヤップヤップ,牡5,57.0,丹内,2:00.0,1.1/4,7.0,13.3,35.3,8-8-7-5,美浦宗像,448(-10),2021年6月12日,芝,2000,曇,良,2016104238,01091
202101010108,6,6,6,アルマイナンナ,牝4,55.0,菱田,2:00.1,クビ,9.0,30.6,35.8,3-4-3-3,美浦高橋文,450(+12),2021年6月12日,芝,2000,曇,良,2017102945,01144
202101010108,7,7,8,ユークレース,牝4,55.0,菊沢,2:00.2,1/2,6.0,10.3,35.7,4-4-4-5,美浦菊沢,480(+14),2021年6月12日,芝,2000,曇,良,2017105368,01161
202101010108,8,7,7,ディープリッチ,牡3,52.0,△泉谷,2:00.2,クビ,2.0,4.4,36.1,1-1-1-1,美浦小島,504(+8),2021年6月12日,芝,2000,曇,良,2018105157,01182
